model,dataset,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_f1,test_precision,test_recall,test_roc_auc
SVM,Radiomic Dataset (With Feature Selection by Random Forest),0.8087946380115054,0.0230090588814539,0.7578467249927063,0.0364509349749556,0.7652027666247505,0.0474086836956324,0.7523017924808569,0.0419206769785423,0.8782216172866626,0.0233761392027884,0.8068669527896996,0.7133757961783439,0.6978193146417445,0.7296416938110749,0.8975452768729641
SVM,Radiomic Dataset (With Feature Selection by Lasso),0.8148187343970477,0.020971115331897,0.7644184886150895,0.0396109859530425,0.7720513466814326,0.0438509525131279,0.7579051300956103,0.0447744647408762,0.8876497707832162,0.0210746132366023,0.8186695278969958,0.730462519936204,0.715625,0.745928338762215,0.9046332247557004
SVM,Combined Dataset (With Feature Selection by Lasso),0.8669090777524513,0.0241925767673239,0.8309051669935478,0.0421393342120689,0.830652185575118,0.0456140475558049,0.8320101905876722,0.0469550695682892,0.9360238318413556,0.0223375291284412,0.8669527896995708,0.8068535825545172,0.7731343283582089,0.8436482084690554,0.9403830618892508
SVM,Combined Dataset (With Feature Selection by Random Forest),0.8669145048663122,0.0238158730799992,0.829600095842286,0.0365619955820214,0.843023852820356,0.0375122885486032,0.8172197640996106,0.0426080827414958,0.9323537261087012,0.0238090751326129,0.8733905579399142,0.8108974358974359,0.7981072555205048,0.8241042345276873,0.9433954397394136
SVM,Pylidc Dataset (Without Feature Selection),0.8467383045696298,0.0298609007494138,0.8056699651590875,0.0463508370459662,0.8110829066325749,0.0432067231664153,0.8011162279552332,0.0554350799520873,0.9254772217850912,0.0220269404166822,0.8583690987124464,0.794392523364486,0.7611940298507462,0.8306188925081434,0.9348638436482084
SVM,Radiomic Dataset (Without Feature Selection),0.8069874090958427,0.0263650103232004,0.7542391707757788,0.0479752272803293,0.7618552022188377,0.0535046029810635,0.7480634358001201,0.0530917963741347,0.881242222987828,0.0198510874116696,0.8165236051502146,0.7237479806138934,0.717948717948718,0.7296416938110749,0.9029498371335504
SVM,Combined Dataset (Without Feature Selection),0.864199138897934,0.0248084107471109,0.8295682306121615,0.0377498685020936,0.8255638116964953,0.0450494883975727,0.8344533531061071,0.039205828937797,0.9328983136267504,0.0197713131131126,0.8658798283261803,0.8049921996879875,0.7724550898203593,0.8403908794788274,0.939429315960912
LR,Pylidc Dataset (Without Feature Selection),0.8416196316798727,0.0289558014693597,0.795932681818075,0.0469585839758798,0.8133274951582037,0.0482384738152104,0.7804420673338668,0.0553522022268113,0.9256954953293168,0.0222429278872818,0.8594420600858369,0.7943485086342229,0.7666666666666667,0.8241042345276873,0.934655374592834
LR,Radiomic Dataset (With Feature Selection),0.8142163247584934,0.0169968907997295,0.7614888757535081,0.0361683458753028,0.7763944832570141,0.0455934097688799,0.7481874324776794,0.0381802918513015,0.8905353897210354,0.0207828032117774,0.8197424892703863,0.7324840764331211,0.7165109034267912,0.749185667752443,0.9008495114006516
LR,Radiomic Dataset (Without Feature Selection),0.8118103042801839,0.0239715633056428,0.760050494201801,0.0434785105097933,0.769946631848647,0.0527345376904835,0.7513196879872661,0.042273885409014,0.8867262724838725,0.0203349077266578,0.8175965665236051,0.724025974025974,0.7216828478964401,0.7263843648208469,0.9030228013029316
LR,Combined Dataset (With Feature Selection),0.8678135967292594,0.0245448266903604,0.832004776280183,0.0404393595704915,0.8356722526220668,0.0466535063165593,0.8292550482503287,0.0430627734571818,0.9369438352823044,0.0204461225618721,0.8658798283261803,0.8043818466353678,0.7740963855421686,0.8371335504885994,0.9411387622149836
LR,Combined Dataset (Without Feature Selection),0.8623946235392019,0.024187122070745,0.8248568821649807,0.040947496498169,0.8299801552242675,0.0457934642315109,0.8207094923364767,0.0452516362029474,0.9332085717187228,0.0201262285584682,0.8648068669527897,0.8018867924528302,0.7750759878419453,0.8306188925081434,0.9403100977198696
RF,Pylidc Dataset (Without Feature Selection),0.8708374036687291,0.0251423414801478,0.834130304867821,0.0477738826969673,0.8404062994745878,0.0462625170523573,0.8289663013696498,0.0573779726125693,0.9380726720019216,0.0191995337296138,0.8916309012875536,0.842433697347894,0.8083832335329342,0.8794788273615635,0.9552677524429968
RF,Radiomic Dataset (With Feature Selection),0.813312710300662,0.0236104959004229,0.7620980337847706,0.0385454788737204,0.7742010786291331,0.0490063622701736,0.7520520741878408,0.0447349795017776,0.8859024478727908,0.0171258028031557,0.8272532188841202,0.7432216905901118,0.728125,0.758957654723127,0.9106475570032572
RF,Radiomic Dataset (Without Feature Selection),0.8169244545750569,0.0190212639352275,0.7640940785746443,0.0453736820222409,0.7774940122581008,0.0513658946799484,0.7520214368925167,0.0473109605624563,0.8843111325762673,0.0207634439440748,0.8293991416309013,0.7414634146341463,0.7402597402597403,0.742671009771987,0.9078228013029318
RF,Combined Dataset (With Feature Selection),0.8684250515575818,0.0217946865444889,0.8281630935662017,0.0434639590140979,0.8505459465913457,0.0511993534568446,0.8077224784303356,0.0445151899683378,0.9344809434735104,0.0233671032741765,0.8969957081545065,0.8461538461538463,0.832807570977918,0.8599348534201955,0.9560807817589576
RF,Combined Dataset (Without Feature Selection),0.854271138608488,0.0226655183165443,0.8104177716115692,0.0394533926554549,0.8372960787006656,0.0445471094845924,0.7866209331583447,0.0492560896184204,0.9239997727246078,0.0208116705483896,0.8798283261802575,0.8163934426229509,0.8217821782178217,0.8110749185667753,0.9456755700325732
